_id,_name,_region,_time,_text,_followers,_reposts,_comments,_likes
7670162388,宇宙中孤独且稀有的小星星,黑龙江,01/09/2024,"我相信莎头已经一拍两散了，如你们所愿孙颖莎和王楚钦在这次奥运代表团访港中，除了官方活动安排，私下里，走不能走一起，站不能站一起，坐不能坐一起，竟避嫌到如此程度。网友们只能在其他奥运冠军的plog,vlog里寻觅他们的蛛丝马迹在大头的微博和逗音里，只有男乒的合照，没有任何莎莎的影子。在莎莎的plog里，主要也是晒合影，好在在一角给大头露了个脸。以往俩人都是形影不离，有说有笑。这次访港，却不敢出来营业。最好的搭档和朋友，就这样?管它是不是真的CP，作为国乒一员，我们女队和男队连张像样的大合影都没有，我们混双第一块金牌组合，在如此欢聚的时刻，私下里都不值得合影留念下吗？看看人家游泳队、跳水队、射击队等等，我们国乒非要显得如此刻意，如此避嫌吗？原来莎莎最好的朋友和搭档是李爷爷",11.3万,15,67,409
6191604322,李小粥的茶水间,广东,01/09/2024,中国代表团健儿们的访港之行，最大的意外贡献，居然向大众展现这年头极少见的，明星名人们的「真人味儿」，冠军们可以肆无忌惮的玩笑，像普通年轻人一样喝奶茶、合照摆怪动作，没有束缚的拍视频发vlog，不怕被过度解读的在评论区相互留言，尤其在内地明星们已经没有真人、社交平台全是通稿和废话、连上个真人秀综艺都全是剧本，这样的背景下，更加凸显体育明星们真实自我的可贵。现在对名人明星言行的要求确实够高的，往好了说，是让他们自身作则、做好示范表率，但弊端就是，全员带着面具、所有发言都是演戏，极其无聊。也只有奥运冠军们身上的光环，和为国争光后换来的特定舆论豁免权，才带来一股如沐春风般的、真实的、有人味儿的青春风气。,102.7万,10,13,226
6609266566,怡梦繁星Fei,广东,02/09/2024,逗笑整个国乒教练和运动员只需要一个盛李豪和游泳队！台上游泳队: 唱的很认真，台下国乒队: 笑的很猖狂，王楚钦 樊振东你俩笑的最欢，你俩留下来,18万,0,10,54
7186325875,十一月初三Vera,浙江,01/09/2024,哈哈哈哈今天真的爆炸开心，可以美美入睡了,2.2万,30,13,844
6441203794,紫枫林颖,浙江,02/09/2024,闲的没事多看看莎莎这次香港行演讲，采访，还有央视面对面，亚洲唯一女性代表，23岁奥运3金2银，她的成绩有目共睹，都是一拍拍用成绩打到我们面前。莎莎不需要任何捆绑营销，她自身就足够优秀，个人魅力和满满正能量，值得更多的人喜欢。,2.8万,1,3,238
6288848606,就要喝冰美式_,黑龙江,02/09/2024,差不多得了别带王楚钦了，王楚钦回答的特别好特别正常，有些人别乱磕了,4953,3,33,343
7788578119,以七为书_李沉舟天下无敌,山东,02/09/2024,莎莎慌不慌张我不知道但公然起哄莎头的行为还是不礼貌在这种公开场合还是希望能够问一些有质量的问题希望这种港澳交流更多的是传达体育精神,1695,2,1,174
7481845811,日暮燃烧时,山东,02/09/2024,要孙颖莎在台上直接翻个白眼吗🙄，请停止对女生的起哄霸凌吧祝觉得好的，在生活中遇到不喜欢的同事同学都被起哄说你们是一对，你怎么澄清都不管用。,1491,0,2,168
1669174712,高小马,北京,02/09/2024,不是慌张，是尴尬是无语是抵触。她是大女主小魔王，业务能力超强，不必老是拿出来跟男的放在一起。尊重这两个字我真的说累了。,3796,3,0,196
5288938953,她有美貌就够了,河南,01/09/2024,是阳光照的啦一定是阳光照的 你们不要这样哇😯,1.2万,9,24,367
7626680129,hope快乐日记,四川,01/09/2024,徐瑛彬去亚锦赛单打还是林高远亚锦赛单打对于头丝都没有区别在球拍事件以后我只想王楚钦开开心心什么比赛都无所谓不要给他压力至于徐和林谁上单打这是男队主教练王皓决定王皓在德班世乒赛选拔就夸奖过徐了是他看好徐再说徐在国际赛上次是赢了王楚钦的而林高远是连输王楚钦的如果真要抬王楚钦直接让他俩互换单打不更好吗？不懂林高远f丝和圆满批天天盯着王楚钦干嘛有的时候也在想王楚钦24岁俩块奥运金牌在手他被人故意闹坏球拍你们还要对他有各种要求林30岁了却还在愤愤不平一些参赛名额我想说人生不只有乒乓球眼光放开些粉的偶像让你感到幸福他才值得让你粉一直这样消极暴怒卖惨精神世界都不满足现实生活又能有多快乐呢？,4911,1,11,212
6510516376,揽月随风散,河南,02/09/2024,孙颖莎眼神杀有多绝，王楚钦吓得一动不敢动,6.8万,6,1,241
7906536287,芝士奶酪包里有芝心,陕西,02/09/2024,所以他们俩是什么情况捏,1.3万,13,38,417
6402268523,我Lay控素控,云南,02/09/2024,悲哀，莎莎的抵触情绪是一点看不到，这都还能嗑，是疯了吗？不愧是，走到哪儿，黏到哪儿，甩都甩不掉,14,2,19,480
5123609163,酒舞生,天津,02/09/2024,我左看右看，上看下看，是不是mai错热搜了？,1.1万,3,9,256
7632582996,o_007BubbleGUM,湖南,01/09/2024,总有人说溺瓶怎么怎么勾心斗角啊但是其实人的本质还是友好善良的，大家也会有点矛盾，但没有想象的那么坏……美好的一天到看到这张美好的合照结束，大家晚安！,1.1万,0,11,168
7360795486,草莓牛奶特别甜,福建,01/09/2024,国家奥运健儿和澳门运动员交流丨乒乓球展示环节王楚钦、孙颖莎与澳门乒乓球运动员交流,67.4万,1273,283,12528
2755145410,Arielvv_O_O,江苏,01/09/2024,今日阳光正好☀️而你的快乐最重要！,24.2万,195,88,2002
7483753912,体界蜜蜂,江苏,01/09/2024,孙颖莎王楚钦樊振东全红婵陈芋汐谷爱凌|蜜蜂分享|家属感绝了,20.1万,53,14,433
7872687466,咕噜咕噜咕噜黑化了-,江苏,01/09/2024,男乒路人缘最好的是谁啊？张继科，马龙，樊振东，王楚钦,10.8万,1,74,484
6839347435,体育系顶楼,山东,31/08/2024,真的不知道该羡慕大头还是羡慕莎莎了？不得不承认，王楚钦天生就有一种少年老成的气质，他静静的坐在那里看孙颖莎玩游戏，和老母亲在开放日去幼儿园看孩子有什么区别？他甚至比老母亲还细心。又有多少女生在大喊青春里少了一个王楚钦啊这样并肩同行的美好真的让人羡慕[比心],15.6万,49,66,847
1825079131,星闻社长,湖南,31/08/2024,好多e人在整活夹道欢迎奥运冠军入场，王楚钦不理解但直接加入，还试图鼓掌融入他们但是被发现揪出来了，果然i人就是e人的玩具。,282.2万,1471,679,49854
7930273839,王楚钦_HOPE的氢气球工坊备用机,黑龙江,01/09/2024,🦁️ 🎬 各位球球，大家下午好！为了方便球球们考古、回顾楚钦与球球的“赛场情缘”，坊坊将对赛场下被镜头记录的美好瞬间进行补档，现已将所有视频整理成合集~🔗请详见评论区 ，也可移步坊坊dy观看~,6.3万,217,224,1031
6664693702,著名吃糖蛀牙学家,福建,01/09/2024,是因为热的啦！我们楚钦老师怕热,4.3万,9,23,463
1775107677,碧山半见,辽宁,01/09/2024,这耳朵红的哈哈哈我原来以为头头是e人 没想到是深度i人 简直了 反差萌太可爱,1.1万,31,30,1536
6340947477,笛月0923,内蒙古,30/08/2024,头哥这是黏上甲鱼哥了，直接打入游泳队内部！甲鱼哥 #游泳,12.7万,38,24,1863
